annee;etab_uai;etab_nom;tc;tf;nm;fl;app;int;amg;aut;region;departement;commune;fiche;dataviz;etab_url;etab_gps;nmc;gta;gti;etablissement_id_paysage;composante_id_paysage;rnd;code_formation
2024;0350937D;Université de Rennes 2 (35);Publics;Formations d'art, de design et du spectacle vivant,Licence;Licence - Arts plastiques;L1 - Arts plastiques;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4754;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4754;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-AP;4754;4754;ti37C;;2581;2025
2024;0352009U;Lycée Victor et Hélène BASCH (Rennes - 35);Publics;CPGE;CPGE - ENS Cachan D2;CPGE - ENS Cachan D2;;;Enseignement en présentiel;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4772;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4772;http://lycee-basch.fr;48.1257, -1.68996;CPGE-Cachan-D2;4772;4772;;;3430;25
2024;0352009U;Lycée Victor et Hélène BASCH (Rennes - 35);Publics;BTS - BTSA - BTSM;BTS - Services - Services informatiques aux organisations;BTS - Services informatiques aux organisations;;;Enseignement en présentiel;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4774;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4774;http://lycee-basch.fr;48.1257, -1.68996;BTS-SIO;4774;4774;;;1030;458
2024;0352072M;Institution St Malo-Providence (Saint-Malo - 35);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Tourisme;BTS - Tourisme;;;Enseignement en présentiel;;Bretagne;Ille-et-Vilaine;Saint-Malo;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4776;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4776;https://www.ism-lapro.fr;48.65498, -1.96897;BTS-Tourisme;4776;4776;;;24434;464
2024;0352379W;I.U.T de Saint-Malo (35);Publics;BUT;BUT - Réseaux et télécommunications (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BUT - Cybersécurité,BUT - Développement Système et Cloud,BUT - Pilotage de Projets Réseaux,BUT - Réseaux et télécommunications;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau;Des épreuves de sélection sont mises en place pour candidater à cette formation;Bretagne;Ille-et-Vilaine;Saint-Malo;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4781;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4781;https://iut-stmalo.univ-rennes1.fr;48.6571, -1.96914;BUT-RT;4781;4781;91D9w;;2863;810016
2024;0352379W;I.U.T de Saint-Malo (35);Publics;BUT;BUT - Gestion des entreprises et des administrations (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BUT - Contrôle de gestion et pilotage de la performance,BUT - Gestion, entrepreneuriat et management d'activités,BUT - Gestion comptable, fiscale et financière,BUT - Gestion des entreprises et des administrations;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau;;Bretagne;Ille-et-Vilaine;Saint-Malo;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4783;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4783;https://iut-stmalo.univ-rennes1.fr;48.6571, -1.96914;BUT-GEA;4783;4783;91D9w;;11980;810502
2024;0352379W;I.U.T de Saint-Malo (35);Publics;BUT;BUT - Carrières juridiques (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BUT - Entreprise et Association,BUT - Administration et justice,BUT - Carrières juridiques;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau;;Bretagne;Ille-et-Vilaine;Saint-Malo;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4784;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4784;https://iut-stmalo.univ-rennes1.fr;48.6571, -1.96914;BUT-CJ;4784;4784;91D9w;;16149;810505
2024;0352504G;CFAI de Bretagne - antenne CCI de Fougères (Javené - 35);Privés hors contrat;BTS - BTSA - BTSM;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;BTS - Maintenance des systèmes - option A Systèmes de production;Formations en apprentissage;;Enseignement en présentiel;;Bretagne;Ille-et-Vilaine;Javené;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4788;;https://www.formation-industrie.bzh;48.332, -1.1997;BTS-MS-Opt.A-App;4788;4788;;;20229;1385
2024;0370009J;Lycée Francois Rabelais (Chinon - 37);Publics;BTS - BTSA - BTSM;BTS - Services - Management Commercial Opérationnel;BTS - Management Commercial Opérationnel;;;Enseignement en présentiel;;Centre-Val de Loire;Indre-et-Loire;Chinon;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4822;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4822;http://www.lyceerabelais.fr;47.1634, 0.23522;BTS-MCO;4822;4822;;;7233;10423
2024;0370037P;Lycée Choiseul (Tours - 37);Publics;BTS - BTSA - BTSM;BTS - Services - Commerce International;BTS - Commerce International;;;Enseignement en présentiel;;Centre-Val de Loire;Indre-et-Loire;Tours;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4831;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4831;http://lyceechoiseul.fr/;47.4348, 0.68479;BTS-CI;4831;4831;;;14911;10427
